PORT_IATA,PORT_NAME,LAT_DEC,LONG_DEC,CITY_NAME,ACTIVE
RUL,Maavarulu,0.33805,73.51277,Maavarulu,Y
TFU,Tianfu International,30.31632,104.44266,Chengdu,Y
CQW,Chongqing Xiannvshan,29.46416,107.69333,Wulong,Y
YLX,Yulin,22.4327,110.11967,Yulin,Y
JAE,Aeropuerto de Shumba,-5.59361,-78.77361,Jaen,Y
CDT,Castellon,40.21391,0.07306,Castellon de la Plana,Y
SXB,Strasbourg International,48.54194,7.63444,Strasbourg,Y
HYD,Hyderabad Rajiv Gandhi Intl Arpt,17.23106,78.43125,Hyderabad,Y
BPM,Hyderabad Begumpet Airport,17.4531,78.46349,Hyderabad,Y
XER,Strasbourg Bus Station,48.58508,7.73544,Strasbourg Bus Station,Y
TLS,Blagnac,43.63499,1.36777,Toulouse,Y
AIS,Arorae,-2.61631,176.8025,Arorae,Y
BEZ,Beru,-1.35444,176.0066,Beru,Y
CEM,Central,65.57358,-144.77904,Central,Y
CIK,Chalkyitsik,66.64401,-143.74261,Chalkyitsik,Y
CLP,Clarks Point,58.83338,-158.52942,Clarks Point,Y
ELI,Elim,64.61539,-162.27009,Elim,Y
FFM,Fergus Falls Municipal,46.28333,-96.16666,Fergus Falls,Y
GLV,Golovin,64.548,-163.01186,Golovin,Y
HCR,Holy Cross,62.19022,-159.77244,Holy Cross,Y
HNH,Hoonah,58.09582,-135.41273,Hoonah,Y
KBC,Birch Creek,66.27212,-145.81879,Birch Creek,Y
KEO,Odienne,9.53874,-7.56228,Odienne,Y
KGX,Grayling,62.89764,-160.06716,Grayling,Y
KLL,Levelock,59.12604,-156.8608,Levelock,Y
KOT,Kotlik,63.03249,-163.53032,Kotlik,Y
KUC,Kuria,1.00376,173.03111,Kuria,Y
KWT,Kwethluk,60.79336,-161.44193,Kwethluk,Y
MDI,Makurdi,7.71666,8.6,Makurdi,Y
NGD,August George,18.73333,-64.31666,Anegada,Y
NIG,Nikunau,-1.3143,176.41073,Nikunau,Y
NNL,Nondalton,59.98029,-154.839,Nondalton,Y
OKE,Okierabu,27.43222,128.70575,Okierabu,Y
OOT,Onotoa,-1.79614,175.52589,Onotoa,Y
SDX,Sedona,34.8493,-111.78756,Sedona,Y
TGI,Tingo Maria,-9.28979,-76.00511,Tingo Maria,Y
VEE,Venetie,67.00632,-146.37821,Venetie,Y
WBB,Stebbins,63.51466,-162.28397,Stebbins,Y
WSN,South Naknek,58.70316,-157.00658,South Naknek,Y
TDW,Amarillo Tradewind Apt,35.23333,-101.71666,Amarillo,Y
AMA,Amarillo Rick Husband Intl Apt,35.21943,-101.70583,Amarillo,Y
ANK,Ankara Etimesgut Apt,39.95277,32.6861,Ankara,Y
ESB,Ankara Esenboga Apt,40.12804,32.99499,Ankara,Y
APW,Apia Faleolo Apt,-13.82971,-171.99721,Apia,Y
BFS,Belfast International Apt,54.6575,-6.21583,Belfast,Y
BHD,Belfast George Best City Apt,54.61804,-5.87249,Belfast,Y
OTP,Bucharest Henri Coanda Apt,44.57221,26.10222,Bucharest,Y
TZA,Belize City Municipal Apt,17.51617,-88.1954,Belize City,Y
BZE,Belize City Goldson Intl Apt,17.53916,-88.30833,Belize City,Y
CGF,Cleveland Cuyahoga County Apt,41.56656,-81.48404,Cleveland,Y
CLE,Cleveland Hopkins International Apt,41.41166,-81.84971,Cleveland,Y
BKL,Cleveland Burke Lakefront Apt,41.51749,-81.68333,Cleveland,Y
CMB,Bandaranaike Intl,7.18027,79.88527,Colombo,Y
RML,Colombo Ratmalana Apt,6.8209,79.8854,Colombo,Y
CPH,Copenhagen Kastrup Apt,55.62025,12.65003,Copenhagen,Y
RKE,Copenhagen Roskilde Apt,55.58564,12.13139,Copenhagen,Y
MGY,Dayton Wright Brothers Apt,39.58833,-84.22499,Dayton,Y
DAY,Dayton James M. Cox Intl Apt,39.9025,-84.21943,Dayton,Y
DOM,Dominica Melville Hall Apt,15.54694,-61.3,Dominica,Y
DRT,Del Rio International Apt,29.37324,-100.92615,Del Rio,Y
EYW,Key West International Apt,24.55611,-81.75944,Key West,Y
FCH,Fresno Chandler Executive Apt,36.73302,-119.82031,Fresno,Y
FAT,Fresno Yosemite International Airport,36.7761,-119.71804,Fresno,Y
FMY,Fort Myers Page Field,26.58333,-81.86666,Fort Myers,Y
RSW,Fort Myers SW Florida International Apt,26.5361,-81.75527,Fort Myers,Y
AYM,Abu Dhabi Yas Island SPB,24.4706,54.60958,Abu Dhabi Yas Island SPB,Y
GST,Gustavus Airport,58.42527,-135.7075,Gustavus,Y
GTF,Great Falls International Apt,47.48193,-111.37054,Great Falls,Y
